Dataset,Model,Uses_PCA,Original_Features,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Clinical,KNN,True,8,0.3467521281746043,0.5417592343393983,21.0,Euclidean,0.6438679245283019,0.2182410423452769,0.5193798449612403,0.3073394495412844,0.635308514193917,6.819745299988426,479,240,62,67,0.99,8,1.0
Clinical,SVM,True,8,0.347611716160469,0.3652014309113848,,,0.5943396226415094,0.2319201995012468,0.7209302325581395,0.350943396226415,0.6642084721458529,16.264426600013394,411,308,36,93,0.9,7,0.9775029771031928
Clinical,XGBoost,True,8,0.3347293074099609,0.4887615144252777,,,0.7040094339622641,0.2324561403508772,0.4108527131782946,0.2969187675070028,0.6287695011374541,1.6467810000176542,544,175,76,53,0.99,8,1.0
Clinical,MLP,True,8,0.3484601174450904,0.4623344753957584,,,0.6933962264150944,0.2139737991266375,0.3798449612403101,0.2737430167597765,0.5968884432512858,11.378336699970532,539,180,80,49,0.99,8,1.0
Lifestyle,KNN,True,7,0.2429747784688436,0.2307692307694468,21.0,Euclidean,0.4834905660377358,0.1787941787941788,0.6666666666666666,0.2819672131147541,0.5295630235792606,9.948312100023031,324,395,43,86,0.9,6,0.9663966370674364
Lifestyle,SVM,True,7,0.3357049317301923,0.4759555163847512,,,0.6662735849056604,0.2416107382550335,0.5581395348837209,0.3372365339578454,0.638542980668672,25.97173629997997,493,226,57,72,0.99,7,1.0
Lifestyle,XGBoost,True,7,0.2959001735803305,0.4351698458194732,,,0.6356132075471698,0.2169811320754717,0.5348837209302325,0.3087248322147651,0.614823559853802,1.4445804000133649,470,249,60,69,0.99,7,1.0
Lifestyle,MLP,True,7,0.3319542955262124,0.578031694982058,,,0.7252358490566038,0.2657657657657657,0.4573643410852713,0.3361823361823361,0.6577611023061745,2.8203164000296965,556,163,70,59,0.9,6,0.9663966370674364
Merged,KNN,True,15,0.3477998128534973,0.5455342240099297,21.0,Manhattan,0.6568396226415094,0.2335526315789473,0.5503875968992248,0.3279445727482679,0.6344675529104807,18.659665199986197,486,233,58,71,0.9,11,0.921959200537072
Merged,SVM,True,15,0.3466276113823283,0.4875194598875016,,,0.6851415094339622,0.2366412213740458,0.4806201550387597,0.3171355498721228,0.6406184299899731,45.82692730001872,519,200,67,62,0.99,15,1.0
Merged,XGBoost,True,15,0.321191173313734,0.307628184556961,,,0.6132075471698113,0.2148997134670487,0.5813953488372093,0.3138075313807531,0.6520576597556899,8.305835200008005,445,274,54,75,0.99,15,1.0
Merged,MLP,True,15,0.3283828673885246,0.4903423589314236,,,0.6945754716981132,0.2149122807017544,0.3798449612403101,0.2745098039215686,0.619648305678645,22.37135000003036,540,179,80,49,0.9,11,0.921959200537072
