Dataset,Model,Uses_PCA,Original_Features,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Clinical,KNN,False,14,0.2874936971236853,0.04227096914525552,21.0,Euclidean,0.203,0.2,0.995,0.33305439330543934,0.5267078124999999,32.0471093999804,8,1592,2,398,,,
Clinical,SVM,False,14,0.23776934704050462,0.01735348104704788,,,0.1995,0.19959979989994997,0.9975,0.3326385994164235,0.5160609375,280.51498249999713,0,1600,1,399,,,
Clinical,XGBoost,False,14,0.2444586591740721,0.05685966834425926,,,0.202,0.19919517102615694,0.99,0.3316582914572864,0.47658281249999995,17.08790099999169,8,1592,4,396,,,
Clinical,MLP,False,14,0.23094281622606155,0.0008936830673625545,,,0.202,0.20040080160320642,1.0,0.333889816360601,0.5065921875,39.63213939999696,4,1596,0,400,,,
Lifestyle,KNN,False,6,0.2672039873950047,0.009000701865305783,15.0,Manhattan,0.231,0.20178197064989517,0.9625,0.33362218370883884,0.497525,21.66187049995642,77,1523,15,385,,,
Lifestyle,SVM,False,6,0.27645427836140496,0.26423083506057704,,,0.2,0.2,1.0,0.3333333333333333,0.4850046875,136.63475290004862,0,1600,0,400,,,
Lifestyle,XGBoost,False,6,0.2665185296985512,0.011991764418780804,,,0.2,0.2,1.0,0.3333333333333333,0.4901179687499999,3.000363599974662,0,1600,0,400,,,
Lifestyle,MLP,False,6,0.27430593465902275,0.101911370195877,,,0.2,0.2,1.0,0.3333333333333333,0.4989671875,10.527874199964572,0,1600,0,400,,,
Merged,KNN,False,20,0.311560937374509,0.0,21.0,Euclidean,0.2,0.2,1.0,0.3333333333333333,0.503378125,6.570951600035187,0,1600,0,400,,,
Merged,SVM,False,20,0.14186295286238063,0.004399263631455188,,,0.203,0.20060180541624875,1.0,0.3341687552213868,0.4923328125,128.04699729999993,6,1594,0,400,,,
Merged,XGBoost,False,20,0.016576730698783453,0.02140752784907818,,,0.2,0.2,1.0,0.3333333333333333,0.48707187500000004,4.860100099991541,0,1600,0,400,,,
Merged,MLP,False,20,0.21526471610386794,7.16883603522604e-07,,,0.2045,0.2,0.9925,0.3329140461215933,0.49852031249999995,16.89217629999621,12,1588,3,397,,,
