Dataset,Model,Uses_PCA,Original_Features,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Clinical,KNN,True,14,0.2874936971236853,0.0422709691452555,21.0,Euclidean,0.203,0.2,0.995,0.3330543933054393,0.5267078124999999,16.900079099985305,8,1592,2,398,0.99,14,1.0000000000000004
Clinical,SVM,True,14,0.2599924091945111,0.0378204282155955,,,0.2005,0.1994987468671679,0.995,0.3323590814196242,0.5225484375,96.29262560000645,3,1597,2,398,0.9,12,0.9039225599051072
Clinical,XGBoost,True,14,0.2458360189070606,0.0224144998937845,,,0.2005,0.2001000500250125,1.0,0.3334722801167153,0.527034375,2.955705599975772,1,1599,0,400,0.95,13,0.9524207374760848
Clinical,MLP,True,14,0.2486162432265504,3.409222009443865e-05,,,0.2,0.2,1.0,0.3333333333333333,0.5140984375,16.509774300036952,0,1600,0,400,0.99,14,1.0000000000000004
Lifestyle,KNN,True,6,0.2680502485101623,0.009000701865304,15.0,Euclidean,0.231,0.2017819706498951,0.9625,0.3336221837088388,0.4973984375,9.334218200005123,77,1523,15,385,0.9,9,0.9335088443924991
Lifestyle,SVM,True,6,0.2789522883330675,0.4003790572663694,,,0.2,0.2,1.0,0.3333333333333333,0.48059375,123.93702590005704,0,1600,0,400,0.9,9,0.9335088443924991
Lifestyle,XGBoost,True,6,0.2633244877811139,0.0891378447413444,,,0.203,0.1975683890577507,0.975,0.3285593934288121,0.49721796875,1.8725328000145964,16,1584,10,390,0.95,10,1.0
Lifestyle,MLP,True,6,0.280882093155304,0.1710190323187689,,,0.2,0.2,1.0,0.3333333333333333,0.48941875,8.167633100005332,0,1600,0,400,0.9,9,0.9335088443924991
Merged,KNN,True,20,0.311560937374509,0.0,21.0,Euclidean,0.2,0.2,1.0,0.3333333333333333,0.503378125,16.304577600036282,0,1600,0,400,0.99,24,0.9999999999999998
Merged,SVM,True,20,0.1709894346078882,0.0048042808440608,,,0.2025,0.200501253132832,1.0,0.3340292275574112,0.484896875,281.6435734999832,5,1595,0,400,0.9,21,0.9177078037324384
Merged,XGBoost,True,20,0.2270009784412389,0.0437113791704177,,,0.2005,0.2001000500250125,1.0,0.3334722801167153,0.49870625,18.135529799968936,1,1599,0,400,0.9,21,0.9177078037324384
Merged,MLP,True,20,0.2195033644046579,2.8789076164417643e-05,,,0.201,0.2002002002002002,1.0,0.3336113427856547,0.4860125,75.93449029995827,2,1598,0,400,0.9,21,0.9177078037324384
