Dataset,Model,Original_Features,PCA_Components,Explained_Variance
Clinical,KNN,14,14,1.0000000000000004
Clinical,SVM,14,12,0.9039225599051072
Clinical,XGBoost,14,13,0.9524207374760848
Clinical,MLP,14,14,1.0000000000000004
Lifestyle,KNN,6,9,0.9335088443924991
Lifestyle,SVM,6,9,0.9335088443924991
Lifestyle,XGBoost,6,10,1.0
Lifestyle,MLP,6,9,0.9335088443924991
Merged,KNN,20,24,0.9999999999999998
Merged,SVM,20,21,0.9177078037324384
Merged,XGBoost,20,21,0.9177078037324384
Merged,MLP,20,21,0.9177078037324384
