Variable,Count,Mean,Standard Deviation,Median,Minimum,Maximum,Missing
Age,9971,49.296259151539466,18.19397006391665,49.0,18.0,80.0,29
Blood Pressure,9981,149.75773970544034,17.572969013250344,150.0,120.0,180.0,19
Cholesterol Level,9970,225.42557673019058,43.57580941771763,226.0,150.0,300.0,30
BMI,9978,29.077268927511035,6.307098165946805,29.079491590086043,18.00283694367505,39.99695379658124,22
Sleep Hours,9975,6.991329446342598,1.7531952495553809,7.003252334814371,4.000605495703501,9.999952253817796,25
Triglyceride Level,9974,250.73440946460798,87.06722598105024,250.0,100.0,400.0,26
Fasting Blood Sugar,9978,120.14221286831028,23.58401138181457,120.0,80.0,160.0,22
CRP Level,9974,7.472200593944745,4.340247570333123,7.472164393020417,0.0036467123625,14.997086730710286,26
Homocysteine Level,9980,12.45627088214965,4.323425857275097,12.409395381646618,5.000236488356111,19.99903699208996,20
Heart Disease Status,10000,0.2,0.4000200015001251,0.0,0.0,1.0,0
