Dataset,Model,Uses_PCA,Original_Features,Train_Rows_Used,CV_Best_F1,Best_Threshold,Model_N_Neighbors,Model_Distance,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,TN,FP,FN,TP,PCA_Variance_Target,PCA_Components,Explained_Variance
Clinical,KNN,False,14,202944,0.3555649810479421,0.5935407280921936,21.0,Manhattan,0.8241485335856197,0.27248764415156507,0.5191462649089768,0.35738980121002595,0.7748164340035593,51.00617306586355,39333,6624,2298,2481,,,
Clinical,SVM,False,14,40000,0.36939986499679883,0.683687994664509,,,0.8226702932828761,0.2830693272989097,0.5758526888470391,0.379560030342735,0.8124290998787165,73.35888165095821,38987,6970,2027,2752,,,
Clinical,XGBoost,False,14,202944,0.3043427745502915,0.32120704650878906,,,0.847760958688111,0.321059667031231,0.5528353211969032,0.40621156211562115,0.8402757541902474,14.24172990815714,40370,5587,2137,2642,,,
Clinical,MLP,False,14,202944,0.3590471778029626,0.6964952284812548,,,0.8423210343740145,0.3016381327749723,0.5124503034107554,0.37974879826329666,0.8144104638367453,324.7191495881416,40287,5670,2330,2449,,,
Lifestyle,KNN,False,7,202944,0.049309175244976286,0.0,5.0,Manhattan,0.09419347209082309,0.09419347209082309,1.0,0.17216968386922454,0.5652019788160192,34.28447767999023,0,45957,0,4779,,,
Lifestyle,SVM,False,7,40000,0.2213820333093727,0.5958835426518452,,,0.5283625039419741,0.12953648533622225,0.7005649717514124,0.21864489795918368,0.6134791644051774,67.68661719141528,23459,22498,1431,3348,,,
Lifestyle,XGBoost,False,7,202944,0.22283077567438273,0.5527383685112,,,0.7287527593818984,0.15249516441005803,0.4124293785310734,0.2226615454134659,0.6385393998701525,10.864741140045226,35003,10954,2808,1971,,,
Lifestyle,MLP,False,7,202944,0.22287650906731665,0.5556857471479315,,,0.7294228949858089,0.15251999689368642,0.4109646369533375,0.22247394653375624,0.6381761410084373,153.45687967911363,35044,10913,2815,1964,,,
Merged,KNN,False,21,202944,0.3513744108054892,0.6244514584541321,21.0,Manhattan,0.8255479344055503,0.2744294261023709,0.5183092697216991,0.3588554871423397,0.789306249562699,20.789203889667988,39408,6549,2302,2477,,,
Merged,SVM,False,21,40000,0.3691809512728937,0.497466873034451,,,0.8048328602964364,0.26476260446321975,0.6032642812303829,0.3680112330865458,0.8016666443334999,76.03748865285888,37951,8006,1896,2883,,,
Merged,XGBoost,False,21,202944,0.2671334536796981,0.28243857622146606,,,0.8558420056764428,0.33626146492701203,0.5446746181209458,0.415814696485623,0.8449097952463848,7.827400939073414,40819,5138,2176,2603,,,
Merged,MLP,False,21,202944,0.3537478512807159,0.6483123599048844,,,0.8217439293598234,0.27917572745158953,0.5641347562251517,0.3735106677750069,0.8140370150408027,289.0075875259936,38996,6961,2083,2696,,,
