combo,model,n_clinical,n_lifestyle,k,clinical,lifestyle,train_seconds,threshold,accuracy,precision,recall,f1,roc_auc,train_rows,n_neighbors,knn_metric
all-21 (both parts),KNN,14,7,21,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth,Income,BMI,Education,DiffWalk,MentHlth,Stroke,CholCheck,Diabetes","Smoker,HvyAlcoholConsump,Veggies,Fruits,PhysActivity,NoDocbcCost,AnyHealthcare",,0.595,0.8149,0.2657,0.5476,0.3578,0.789,172502,21.0,manhattan
all-21 (both parts),SVM,14,7,21,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth,Income,BMI,Education,DiffWalk,MentHlth,Stroke,CholCheck,Diabetes","Smoker,HvyAlcoholConsump,Veggies,Fruits,PhysActivity,NoDocbcCost,AnyHealthcare",9.2,0.6023,0.8324,0.2865,0.5229,0.3702,0.8033,40000,,
all-21 (both parts),XGBoost,14,7,21,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth,Income,BMI,Education,DiffWalk,MentHlth,Stroke,CholCheck,Diabetes","Smoker,HvyAlcoholConsump,Veggies,Fruits,PhysActivity,NoDocbcCost,AnyHealthcare",1.0,0.2735,0.8512,0.3294,0.5602,0.4149,0.8445,172502,,
all-21 (both parts),MLP,14,7,21,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth,Income,BMI,Education,DiffWalk,MentHlth,Stroke,CholCheck,Diabetes","Smoker,HvyAlcoholConsump,Veggies,Fruits,PhysActivity,NoDocbcCost,AnyHealthcare",119.6,0.671,0.8375,0.2913,0.5064,0.3699,0.8034,172502,,
3C+1L,KNN,3,1,4,"Age,HighBP,GenHlth",Smoker,,0.4,0.8398,0.2534,0.3599,0.2974,0.701,172502,5.0,manhattan
3C+1L,SVM,3,1,4,"Age,HighBP,GenHlth",Smoker,28.4,0.7576,0.8058,0.2692,0.6187,0.3751,0.7993,40000,,
3C+1L,XGBoost,3,1,4,"Age,HighBP,GenHlth",Smoker,0.7,0.7071,0.837,0.2979,0.5382,0.3835,0.821,172502,,
3C+1L,MLP,3,1,4,"Age,HighBP,GenHlth",Smoker,40.7,0.7145,0.8383,0.2996,0.5361,0.3844,0.8213,172502,,
3C+2L,KNN,3,2,5,"Age,HighBP,GenHlth","Smoker,HvyAlcoholConsump",,0.4,0.8536,0.2673,0.3187,0.2908,0.6967,172502,5.0,manhattan
3C+2L,SVM,3,2,5,"Age,HighBP,GenHlth","Smoker,HvyAlcoholConsump",23.7,0.7638,0.8177,0.2784,0.5878,0.3779,0.8025,40000,,
3C+2L,XGBoost,3,2,5,"Age,HighBP,GenHlth","Smoker,HvyAlcoholConsump",1.0,0.7048,0.8391,0.2997,0.5294,0.3827,0.8208,172502,,
3C+2L,MLP,3,2,5,"Age,HighBP,GenHlth","Smoker,HvyAlcoholConsump",19.5,0.7136,0.8391,0.3006,0.5336,0.3846,0.8217,172502,,
4C+2L,KNN,4,2,6,"Age,HighBP,GenHlth,HighChol","Smoker,HvyAlcoholConsump",,0.4,0.8518,0.2801,0.3653,0.3171,0.696,172502,5.0,euclidean
4C+2L,SVM,4,2,6,"Age,HighBP,GenHlth,HighChol","Smoker,HvyAlcoholConsump",25.5,0.7684,0.8247,0.2907,0.598,0.3913,0.808,40000,,
4C+2L,XGBoost,4,2,6,"Age,HighBP,GenHlth,HighChol","Smoker,HvyAlcoholConsump",1.1,0.7367,0.8609,0.3285,0.4566,0.3821,0.8274,172502,,
4C+2L,MLP,4,2,6,"Age,HighBP,GenHlth,HighChol","Smoker,HvyAlcoholConsump",31.6,0.7413,0.8614,0.3314,0.4635,0.3865,0.8291,172502,,
5C+2L,KNN,5,2,7,"Age,HighBP,GenHlth,HighChol,Sex","Smoker,HvyAlcoholConsump",,0.25,0.8561,0.2853,0.3509,0.3148,0.7234,172502,5.0,manhattan
5C+2L,SVM,5,2,7,"Age,HighBP,GenHlth,HighChol,Sex","Smoker,HvyAlcoholConsump",17.7,0.7822,0.8375,0.308,0.5817,0.4027,0.8161,40000,,
5C+2L,XGBoost,5,2,7,"Age,HighBP,GenHlth,HighChol,Sex","Smoker,HvyAlcoholConsump",1.2,0.7076,0.8489,0.3238,0.5547,0.4089,0.8362,172502,,
5C+2L,MLP,5,2,7,"Age,HighBP,GenHlth,HighChol,Sex","Smoker,HvyAlcoholConsump",33.9,0.7095,0.8508,0.3251,0.5428,0.4066,0.8382,172502,,
5C+3L,KNN,5,3,8,"Age,HighBP,GenHlth,HighChol,Sex","Smoker,HvyAlcoholConsump,Veggies",,0.3928,0.8521,0.2858,0.3808,0.3266,0.7152,172502,5.0,manhattan
5C+3L,SVM,5,3,8,"Age,HighBP,GenHlth,HighChol,Sex","Smoker,HvyAlcoholConsump,Veggies",14.6,0.7809,0.8377,0.3068,0.5738,0.3998,0.8152,40000,,
5C+3L,XGBoost,5,3,8,"Age,HighBP,GenHlth,HighChol,Sex","Smoker,HvyAlcoholConsump,Veggies",1.3,0.7371,0.8633,0.3403,0.4815,0.3988,0.8351,172502,,
5C+3L,MLP,5,3,8,"Age,HighBP,GenHlth,HighChol,Sex","Smoker,HvyAlcoholConsump,Veggies",33.6,0.7249,0.8604,0.3383,0.5041,0.4049,0.8372,172502,,
4C+3L,KNN,4,3,7,"Age,HighBP,GenHlth,HighChol","Smoker,HvyAlcoholConsump,Veggies",,0.25,0.8608,0.2825,0.3105,0.2959,0.6814,172502,5.0,euclidean
4C+3L,SVM,4,3,7,"Age,HighBP,GenHlth,HighChol","Smoker,HvyAlcoholConsump,Veggies",19.4,0.7492,0.8163,0.2816,0.6127,0.3859,0.8076,40000,,
4C+3L,XGBoost,4,3,7,"Age,HighBP,GenHlth,HighChol","Smoker,HvyAlcoholConsump,Veggies",1.2,0.7351,0.8616,0.3297,0.4539,0.3819,0.8267,172502,,
4C+3L,MLP,4,3,7,"Age,HighBP,GenHlth,HighChol","Smoker,HvyAlcoholConsump,Veggies",130.6,0.7418,0.8603,0.329,0.465,0.3854,0.8264,172502,,
6C+2L,KNN,6,2,8,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth","Smoker,HvyAlcoholConsump",,0.2667,0.8323,0.2756,0.479,0.3499,0.7623,172502,21.0,manhattan
6C+2L,SVM,6,2,8,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth","Smoker,HvyAlcoholConsump",12.8,0.7704,0.8353,0.3044,0.5821,0.3998,0.8153,40000,,
6C+2L,XGBoost,6,2,8,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth","Smoker,HvyAlcoholConsump",1.0,0.6947,0.8575,0.3294,0.4953,0.3957,0.8317,172502,,
6C+2L,MLP,6,2,8,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth","Smoker,HvyAlcoholConsump",136.1,0.6766,0.8376,0.3079,0.5805,0.4024,0.8348,172502,,
6C+3L,KNN,6,3,9,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth","Smoker,HvyAlcoholConsump,Veggies",,0.2381,0.8039,0.2536,0.5564,0.3484,0.7575,172502,21.0,manhattan
6C+3L,SVM,6,3,9,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth","Smoker,HvyAlcoholConsump,Veggies",12.7,0.761,0.8332,0.3018,0.5867,0.3986,0.813,40000,,
6C+3L,XGBoost,6,3,9,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth","Smoker,HvyAlcoholConsump,Veggies",1.4,0.6516,0.85,0.3183,0.5187,0.3945,0.8298,172502,,
6C+3L,MLP,6,3,9,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth","Smoker,HvyAlcoholConsump,Veggies",139.5,0.7276,0.8549,0.3256,0.5043,0.3957,0.8284,172502,,
7C+3L,KNN,7,3,10,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth,Income","Smoker,HvyAlcoholConsump,Veggies",,0.2857,0.8001,0.2385,0.5118,0.3254,0.7193,172502,21.0,manhattan
7C+3L,SVM,7,3,10,"Age,HighBP,GenHlth,HighChol,Sex,PhysHlth,Income","Smoker,HvyAlcoholConsump,Veggies",10.2,0.7144,0.8157,0.283,0.6236,0.3893,0.8127,40000,,
