model,accuracy,precision,recall,f1,roc_auc,n_neighbors,k,added,has_lifestyle
KNN,0.6776,0.1731,0.6418,0.2727,0.6874,51.0,1,Age,False
KNN,0.7694,0.2143,0.5432,0.3073,0.7349,51.0,2,HighBP,False
KNN,0.8215,0.2763,0.5524,0.3684,0.8046,71.0,3,GenHlth,False
KNN,0.8524,0.3098,0.4618,0.3709,0.8121,71.0,4,HighChol,False
KNN,0.8562,0.323,0.4802,0.3862,0.8157,51.0,5,Sex,False
KNN,0.841,0.29,0.4752,0.3602,0.7804,31.0,6,PhysHlth,False
KNN,0.7991,0.2481,0.5576,0.3434,0.7425,31.0,7,Income,False
KNN,0.7979,0.2435,0.544,0.3364,0.7208,71.0,8,BMI,False
KNN,0.8419,0.2843,0.447,0.3476,0.7361,71.0,9,Smoker,True
KNN,0.8356,0.2819,0.4815,0.3556,0.7551,71.0,10,Education,True
KNN,0.8386,0.2878,0.4838,0.3609,0.7669,71.0,11,DiffWalk,True
KNN,0.838,0.2903,0.498,0.3668,0.7765,71.0,12,MentHlth,True
KNN,0.8394,0.2971,0.516,0.3771,0.789,71.0,13,Stroke,True
KNN,0.8456,0.3035,0.4936,0.3759,0.7909,71.0,14,HvyAlcoholConsump,True
KNN,0.8397,0.2982,0.5187,0.3787,0.7917,71.0,15,CholCheck,True
KNN,0.8359,0.2958,0.5374,0.3815,0.7981,71.0,16,Veggies,True
KNN,0.8383,0.2993,0.534,0.3836,0.8021,71.0,17,Fruits,True
KNN,0.8414,0.3013,0.5185,0.3811,0.8047,71.0,18,PhysActivity,True
KNN,0.8462,0.308,0.5074,0.3833,0.8108,71.0,19,Diabetes,True
KNN,0.8343,0.2954,0.548,0.3839,0.8108,71.0,20,NoDocbcCost,True
KNN,0.8395,0.3006,0.5304,0.3838,0.8109,71.0,21,AnyHealthcare,True
XGBoost,0.6783,0.1733,0.6405,0.2728,0.7229,,1,Age,False
XGBoost,0.7854,0.2188,0.4976,0.304,0.7617,,2,HighBP,False
XGBoost,0.8402,0.295,0.5009,0.3713,0.8174,,3,GenHlth,False
XGBoost,0.8403,0.3016,0.5286,0.3841,0.8249,,4,HighChol,False
XGBoost,0.8603,0.3351,0.4913,0.3984,0.8351,,5,Sex,False
XGBoost,0.8514,0.3227,0.5254,0.3998,0.8321,,6,PhysHlth,False
XGBoost,0.8331,0.2964,0.5623,0.3882,0.8279,,7,Income,False
XGBoost,0.8324,0.2975,0.5721,0.3914,0.8318,,8,BMI,False
XGBoost,0.8413,0.3094,0.556,0.3975,0.8346,,9,Smoker,True
XGBoost,0.8458,0.3155,0.5451,0.3997,0.8353,,10,Education,True
XGBoost,0.8533,0.3263,0.5242,0.4022,0.8362,,11,DiffWalk,True
XGBoost,0.8539,0.3264,0.5185,0.4006,0.8363,,12,MentHlth,True
XGBoost,0.8503,0.3267,0.5553,0.4114,0.8418,,13,Stroke,True
XGBoost,0.8563,0.3338,0.5281,0.409,0.8418,,14,HvyAlcoholConsump,True
XGBoost,0.8518,0.3294,0.5539,0.4131,0.8428,,15,CholCheck,True
XGBoost,0.8501,0.3268,0.5581,0.4122,0.8421,,16,Veggies,True
XGBoost,0.8505,0.3266,0.5535,0.4108,0.8427,,17,Fruits,True
XGBoost,0.8598,0.3394,0.5156,0.4093,0.8428,,18,PhysActivity,True
XGBoost,0.858,0.3384,0.5311,0.4134,0.8443,,19,Diabetes,True
XGBoost,0.862,0.3447,0.5168,0.4136,0.8444,,20,NoDocbcCost,True
XGBoost,0.8623,0.3449,0.5133,0.4126,0.844,,21,AnyHealthcare,True
