Dataset,Model,Accuracy_With_PCA,Precision_With_PCA,Recall_With_PCA,F1_With_PCA,ROC_AUC_With_PCA,Training_Time_Seconds_With_PCA,Accuracy_Without_PCA,Precision_Without_PCA,Recall_Without_PCA,F1_Without_PCA,ROC_AUC_Without_PCA,Training_Time_Seconds_Without_PCA,Accuracy_Diff,Precision_Diff,Recall_Diff,F1_Diff,ROC_AUC_Diff,Training_Time_Seconds_Diff
Clinical,KNN,0.824247082939136,0.2711789427117894,0.5130780498012136,0.3548223717531293,0.7727517976116242,70.42643562890589,0.8241485335856197,0.27248764415156507,0.5191462649089768,0.35738980121002595,0.7748164340035593,51.00617306586355,9.854935351627514e-05,-0.0013087014397756835,-0.00606821510776312,-0.0025674294568966416,-0.002064636391935104,19.420262563042343
Clinical,SVM,0.824010564490697,0.2839441899208663,0.5706214689265536,0.3791976639087812,0.8129357827476519,139.4213326270692,0.8226702932828761,0.2830693272989097,0.5758526888470391,0.379560030342735,0.8124290998787165,73.35888165095821,0.0013402712078208756,0.0008748626219565736,-0.005231219920485475,-0.0003623664339538202,0.0005066828689354042,66.062450976111
Clinical,XGBoost,0.8536739198990855,0.33055733504164,0.5398618957940992,0.4100445009535918,0.8431180401024725,15.364159133750944,0.847760958688111,0.321059667031231,0.5528353211969032,0.40621156211562115,0.8402757541902474,14.24172990815714,0.00591296121097451,0.009497668010408966,-0.012973425402803995,0.0038329388379706453,0.0028422859122251287,1.1224292255938035
Clinical,MLP,0.831086408073163,0.2995240613432046,0.5925925925925926,0.3979204721090347,0.8311461286060854,357.6733859088272,0.8423210343740145,0.3016381327749723,0.5124503034107554,0.37974879826329666,0.8144104638367453,324.7191495881416,-0.01123462630085148,-0.002114071431767728,0.08014228918183719,0.018171673845738034,0.016735664769340075,32.954236320685595
Lifestyle,KNN,0.094193472090823,0.094193472090823,1.0,0.1721696838692245,0.5648070892692831,39.836171799805015,0.09419347209082309,0.09419347209082309,1.0,0.17216968386922454,0.5652019788160192,34.28447767999023,-8.326672684688674e-17,-8.326672684688674e-17,0.0,-5.551115123125783e-17,-0.0003948895467360547,5.551694119814783
Lifestyle,SVM,0.5283625039419741,0.1295364853362222,0.7005649717514124,0.2186448979591836,0.6202431908393966,132.13307191198692,0.5283625039419741,0.12953648533622225,0.7005649717514124,0.21864489795918368,0.6134791644051774,67.68661719141528,0.0,-5.551115123125783e-17,0.0,-8.326672684688674e-17,0.00676402643421925,64.44645472057164
Lifestyle,XGBoost,0.7295608640807316,0.1524409203980099,0.4103368905628792,0.2222977951595533,0.6385292873393578,12.031878468114884,0.7287527593818984,0.15249516441005803,0.4124293785310734,0.2226615454134659,0.6385393998701525,10.864741140045226,0.0008081046988331897,-5.424401204812135e-05,-0.0020924879681942232,-0.0003637502539125814,-1.0112530794748054e-05,1.1671373280696589
Lifestyle,MLP,0.7289104383475244,0.1522126637216151,0.4109646369533375,0.222146815971044,0.6385074003805417,376.84692490985617,0.7294228949858089,0.15251999689368642,0.4109646369533375,0.22247394653375624,0.6381761410084373,153.45687967911363,-0.0005124566382844753,-0.0003073331720713224,0.0,-0.0003271305627122467,0.00033125937210432,223.39004523074254
Merged,KNN,0.8109232103437402,0.25944433339996,0.5432098765432098,0.351166723030098,0.7872924216944646,57.89384771091864,0.8255479344055503,0.2744294261023709,0.5183092697216991,0.3588554871423397,0.789306249562699,20.789203889667988,-0.014624724061810146,-0.01498509270241094,0.02490060682151074,-0.0076887641122417305,-0.0020138278682344524,37.104643821250654
Merged,SVM,0.8055029959003469,0.265462254585676,0.6026365348399246,0.3685692347069362,0.8018715221129563,145.53131537279114,0.8048328602964364,0.26476260446321975,0.6032642812303829,0.3680112330865458,0.8016666443334999,76.03748865285888,0.0006701356039104933,0.0006996501224562635,-0.0006277463904582614,0.0005580016203903804,0.00020487777945643604,69.49382671993226
Merged,XGBoost,0.8493968779564806,0.32324604743083,0.5476041012764177,0.4065242718446601,0.8419934797807187,15.425534582231194,0.8558420056764428,0.33626146492701203,0.5446746181209458,0.415814696485623,0.8449097952463848,7.827400939073414,-0.006445127719962196,-0.013015417496182013,0.0029294831554719236,-0.009290424640962913,-0.002916315465666064,7.59813364315778
Merged,MLP,0.8410004730368968,0.3043323018328969,0.5350491734672526,0.3879827023746302,0.8248276773074394,419.6635300223716,0.8217439293598234,0.27917572745158953,0.5641347562251517,0.3735106677750069,0.8140370150408027,289.0075875259936,0.019256543677073412,0.02515657438130736,-0.029085582757899187,0.014472034599623262,0.010790662266636719,130.65594249637803
