,male,age,education,currentSmoker,cigsPerDay,BPMeds,prevalentStroke,prevalentHyp,diabetes,totChol,sysBP,diaBP,BMI,heartRate,glucose,TenYearCHD
male,1.0,-0.029013582393791086,0.01741454400705489,0.19702561898004747,0.31714337822215544,-0.05250434903061147,-0.004550399458528743,0.005852836206752686,0.015693074997146457,-0.07041281654090237,-0.03587903305824124,0.05819942060200904,0.08187134792227757,-0.1169315942217531,0.005978518632015957,0.08837357241125844
age,-0.029013582393791086,1.0,-0.16635593811108382,-0.21366166108783047,-0.19295890310602257,0.1230516564122608,0.057678612519790916,0.30679946700721106,0.1013140769286269,0.26255413113163606,0.3940533163927691,0.205585520982906,0.13609574958280704,-0.012843296890623194,0.12235615227725492,0.22540774458750035
education,0.01741454400705489,-0.16635593811108382,1.0,0.01852804910670342,0.008323197894469258,-0.010897890209271769,-0.03514169720790614,-0.08172649025215863,-0.038749261688925916,-0.02361326919109559,-0.1294955284098117,-0.06191895248904716,-0.13774716881347476,-0.054182469687624454,-0.035842594881061146,-0.054248466596321154
currentSmoker,0.19702561898004747,-0.21366166108783047,0.01852804910670342,1.0,0.7697736120025364,-0.04892716992056624,-0.03298038577690151,-0.1037102973418295,-0.04428529804760833,-0.04648755149447764,-0.130281486967726,-0.10793318710938606,-0.16785725335174437,0.06268578694935603,-0.05672582205964431,0.01944849847819041
cigsPerDay,0.31714337822215544,-0.19295890310602257,0.008323197894469258,0.7697736120025364,1.0,-0.046155188376917684,-0.03271130232965381,-0.0666446177894789,-0.03708926279260046,-0.026478575600224232,-0.08879727433868947,-0.05671490602935502,-0.09329329917912174,0.07556441210033824,-0.05888573478518627,0.057755206928342795
BPMeds,-0.05250434903061147,0.1230516564122608,-0.010897890209271769,-0.04892716992056624,-0.046155188376917684,1.0,0.1173700417573596,0.26106682743551346,0.052059561353921015,0.08062306380292242,0.254194419894533,0.19412191852768612,0.10070234049345922,0.015230101810619023,0.05119713916260042,0.08751945023873425
prevalentStroke,-0.004550399458528743,0.057678612519790916,-0.03514169720790614,-0.03298038577690151,-0.03271130232965381,0.1173700417573596,1.0,0.07479112753058031,0.006955093817220101,0.00010508892358987676,0.05699993720737158,0.04515346644278936,0.02590879665864721,-0.017673599561570625,0.018440441728254046,0.06182262818175407
prevalentHyp,0.005852836206752686,0.30679946700721106,-0.08172649025215863,-0.1037102973418295,-0.0666446177894789,0.26106682743551346,0.07479112753058031,1.0,0.0777520474726309,0.16363225697972816,0.6966558825325891,0.6158401996052029,0.3013439583756744,0.1468152095218295,0.0866563493990226,0.1774575607489973
diabetes,0.015693074997146457,0.1013140769286269,-0.038749261688925916,-0.04428529804760833,-0.03708926279260046,0.052059561353921015,0.006955093817220101,0.0777520474726309,1.0,0.04034800031039214,0.1112645434380954,0.05026037804474204,0.08706822122500102,0.04898605222014723,0.6176299398604432,0.09734423556966126
totChol,-0.07041281654090237,0.26255413113163606,-0.02361326919109559,-0.04648755149447764,-0.026478575600224232,0.08062306380292242,0.00010508892358987676,0.16363225697972816,0.04034800031039214,1.0,0.20873383165522602,0.16469752351285644,0.1159924257143556,0.09112675607488388,0.046538421840912954,0.0823685438656359
sysBP,-0.03587903305824124,0.3940533163927691,-0.1294955284098117,-0.130281486967726,-0.08879727433868947,0.254194419894533,0.05699993720737158,0.6966558825325891,0.1112645434380954,0.20873383165522602,1.0,0.7839519585985599,0.3269055264066237,0.18215508198943586,0.1405728213994369,0.216373828929235
diaBP,0.05819942060200904,0.205585520982906,-0.06191895248904716,-0.10793318710938606,-0.05671490602935502,0.19412191852768612,0.04515346644278936,0.6158401996052029,0.05026037804474204,0.16469752351285644,0.7839519585985599,1.0,0.37735962432105685,0.1810209906934147,0.06107535715187456,0.1451115926054223
BMI,0.08187134792227757,0.13609574958280704,-0.13774716881347476,-0.16785725335174437,-0.09329329917912174,0.10070234049345922,0.02590879665864721,0.3013439583756744,0.08706822122500102,0.1159924257143556,0.3269055264066237,0.37735962432105685,1.0,0.06745106433424662,0.08738912554516372,0.07530032244325792
heartRate,-0.1169315942217531,-0.012843296890623194,-0.054182469687624454,0.06268578694935603,0.07556441210033824,0.015230101810619023,-0.017673599561570625,0.1468152095218295,0.04898605222014723,0.09112675607488388,0.18215508198943586,0.1810209906934147,0.06745106433424662,1.0,0.09454648089351622,0.02290660760589982
glucose,0.005978518632015957,0.12235615227725492,-0.035842594881061146,-0.05672582205964431,-0.05888573478518627,0.05119713916260042,0.018440441728254046,0.0866563493990226,0.6176299398604432,0.046538421840912954,0.1405728213994369,0.06107535715187456,0.08738912554516372,0.09454648089351622,1.0,0.12559035521913023
TenYearCHD,0.08837357241125844,0.22540774458750035,-0.054248466596321154,0.01944849847819041,0.057755206928342795,0.08751945023873425,0.06182262818175407,0.1774575607489973,0.09734423556966126,0.0823685438656359,0.216373828929235,0.1451115926054223,0.07530032244325792,0.02290660760589982,0.12559035521913023,1.0
